cell,integration_cluster,cell_type,sample_type
X130194258934622.T,0,Effector/Memory CD4+ T cells,T
X130194258999724.N,1,Effector/Memory CD8+ T cells,N
X130194259004764.T,6,Natural killer cell,T
X130194259008220.T,1,Exhausted CD8+ T cells,T
X130194259535582.N,0,Effector/Memory CD4+ T cells,N
X130203876478380.T,5,B Cell,T
X130203876804468.T,1,Exhausted CD8+ T cells,T
X130203877267229.N,4,Pro-angiogenesis Macrophage,N
X130203891219870.N,0,Effector/Memory CD4+ T cells,N
X130203891230643.T,0,CD8+ T cell,T
X130203891387700.T,0,Tfh/Th1 helper CD4+ T cells,T
X130203891448109.N,1,Effector/Memory CD8+ T cells,N
X130203891940212.T,5,B Cell,T
X130203903965621.N,6,Natural killer cell,N
X130203903969517.T,0,CD4 or CD8 T cell,T
X130203903977908.T,0,CD4+ T cell,T
X130203904005931.N,2,Pro-angiogenesis Macrophage,N
X130203904040172.N,2,Pro-angiogenesis Macrophage,N
X130203904043299.T,2,Phagocytosis Macrophage,T
X130203904073014.T,2,Macrophage,T
X130203904522485.T,1,Exhausted CD8+ T cells,T
X130203904523699.T,5,B Cell,T
X130203922586342.T,1,Exhausted CD8+ T cells,T
X130203922619164.N,2,Phagocytosis Macrophage,N
X130203922683821.N,7,Macrophage,N
X130203923434741.T,0,CD4+ T cell,T
X130529086000054.N,2,Pro-angiogenesis Macrophage,N
X130529086073572.T,0,CD4+ T cell,T
X130529086294836.T,2,Phagocytosis Macrophage,T
X130529086303094.T,0,Tfh/Th1 helper CD4+ T cells,T
X130529086782302.T,15,pDC,T
X130529100942644.T,1,Effector/Memory CD8+ T cells,T
X130529101465955.T,5,B Cell,T
X130529113783148.T,0,T regulatory cells,T
X130529114114845.T,1,Effector/Memory CD8+ T cells,T
X130529132165982.N,3,Pro-angiogenesis Macrophage,N
X130529132408102.N,1,CD8 T or NK cell,N
X130529132440301.T,2,Phagocytosis Macrophage,T
X130529132926693.N,1,Effector/Memory CD8+ T cells,N
X130529133025563.N,0,Naive CD4+ T cells,N
X130531367730550.N,2,Pro-angiogenesis Macrophage,N
X130531368036659.N,7,Pro-angiogenesis Macrophage,N
X130531382934372.N,7,Macrophage,N
X130531395234723.N,4,Pro-angiogenesis Macrophage,N
X130531395267500.N,0,Blood Cell,N
X130531395517165.N,6,Natural killer cell,N
X130531395521395.T,0,Tfh/Th1 helper CD4+ T cells,T
X130531395750837.N,4,Pro-angiogenesis Macrophage,N
X130531395815147.T,5,B Cell,T
X130531395852715.N,0,Naive CD4+ T cells,N
X130531413903795.N,2,Pro-angiogenesis Macrophage,N
X130531413941046.T,1,Effector/Memory CD8+ T cells,T
X130531414166837.N,0,Effector/Memory CD4+ T cells,N
X130531414363443.N,3,Pro-angiogenesis Macrophage,N
X130624783572261.N,2,Pro-angiogenesis Macrophage,N
X130624783836981.T,5,B Cell,T
X130624783866654.T,0,CD4+ T cell,T
X130624784124765.T,10,CAFmyo,T
X130624798189997.T,4,Blood Cell,T
X130624798218462.N,15,pDC,N
X130624798219060.N,2,Pro-angiogenesis Macrophage,N
X130624810801006.N,0,Effector/Memory CD4+ T cells,N
X130624810864046.T,5,B Cell,T
X130624811129061.N,9,CD4+ T cell,N
X130624829738421.T,0,Effector/Memory CD8+ T cells,T
X130624829905245.N,2,Macrophage,N
X130624829970149.T,5,B Cell,T
X130624830261084.N,2,Pro-angiogenesis Macrophage,N
X130675114883437.T,12,Endothelial Cells,T
X130675115415339.N,4,Pro-angiogenesis Macrophage,N
X130675115673332.N,7,Pro-angiogenesis Macrophage,N
X130675115683045.T,0,CD4+ T cell,T
X130675115710708.T,7,Macrophage,T
X130675130199387.N,9,Pro-angiogenesis Macrophage,N
X130675130358566.N,4,Macrophage,N
X130675130416421.N,7,Pro-angiogenesis Macrophage,N
X130675142159262.N,0,Effector/Memory CD4+ T cells,N
X130675142187316.N,2,Pro-angiogenesis Macrophage,N
X130675142969699.T,2,Macrophage,T
X130675143002533.T,1,Effector/Memory CD8+ T cells,T
X130675143038822.T,2,Macrophage,T
X130675161123572.T,0,CD4+ T cell,T
X130675161127774.N,2,Pro-angiogenesis Macrophage,N
X130675161316779.T,1,Exhausted CD8+ T cells,T
X130675161807715.T,5,B Cell,T
X130693100431795.T,0,Effector/Memory CD8+ T cells,T
X130693115071390.N,8,Lung Cancer Cell,N
X130693115071708.N,1,Effector/Memory CD8+ T cells,N
X130693115103606.T,8,Any Cell,T
X130693115526517.N,3,Pro-angiogenesis Macrophage,N
X130693115529971.T,2,Phagocytosis Macrophage,T
X130693115571123.T,1,CD4 or CD8 T cell,T
X130693127330678.N,2,Pro-angiogenesis Macrophage,N
X130693127429478.N,0,Effector/Memory CD4+ T cells,N
X130693127596382.N,2,Pro-angiogenesis Macrophage,N
X130693127685982.N,0,Effector/Memory CD4+ T cells,N
X130693146261854.N,4,Macrophage,N
X130693146524958.T,1,CD4 or CD8 T cell,T
X130736318211870.N,0,CD4+ T cell,N
X130736318437166.N,7,Macrophage,N
X130736318540651.N,2,Pro-angiogenesis Macrophage,N
X130736333675868.T,2,Phagocytosis Macrophage,T
X130736345434486.N,0,Effector/Memory CD4+ T cells,N
X130736345467677.T,8,Tfh/Th1 helper CD4+ T cells,T
X130736345732974.N,3,Pro-angiogenesis Macrophage,N
X130736346226085.N,0,Effector/Memory CD4+ T cells,N
X130736364305709.N,3,Pro-angiogenesis Macrophage,N
X130736364406710.N,2,Pro-angiogenesis Macrophage,N
X130736364406710.T,2,Phagocytosis Macrophage,T
X130754438155557.N,3,Pro-angiogenesis Macrophage,N
X130754438356387.N,0,Effector/Memory CD4+ T cells,N
X130754438416619.N,3,Pro-angiogenesis Macrophage,N
X130754438424411.T,5,B Cell,T
X130754452245340.N,2,Pro-angiogenesis Macrophage,N
X130754452540141.N,3,Pro-angiogenesis Macrophage,N
X130754452801454.T,1,Effector/Memory CD8+ T cells,T
X130754452805358.T,5,B Cell,T
X130754453036388.T,1,Exhausted CD8+ T cells,T
X130754453129947.T,0,CD4+ T cell,T
X130754464869675.N,3,Pro-angiogenesis Macrophage,N
X130754465119542.N,2,Pro-angiogenesis Macrophage,N
X130754465126764.T,5,B Cell,T
X130754465388390.T,4,Macrophage,T
X130754483969443.N,6,Natural killer cell,N
X130761014601643.T,0,CD8+ T cell,T
X130761014794981.T,5,B Cell,T
X130761014798710.T,8,Pancreatic Cancer Cell,T
X130761015093550.N,3,Pro-angiogenesis Macrophage,N
X130761029703908.T,1,Exhausted CD8+ T cells,T
X130761041800108.T,1,Exhausted CD8+ T cells,T
X130761041853813.T,2,Macrophage,T
X130761042120036.T,5,B Cell,T
X130761042283445.T,1,Effector/Memory CD8+ T cells,T
X130761042357083.N,6,Natural killer cell,N
X130761060439787.N,2,Pro-angiogenesis Macrophage,N
X130761060899165.T,12,Endothelial Cells,T
X130761060969244.T,4,Phagocytosis Macrophage,T
X130761060992819.T,1,Exhausted CD8+ T cells,T
X130761061186779.T,4,CD4 or CD8 T cell,T
X131089713552605.N,2,Pro-angiogenesis Macrophage,N
X131089713748267.T,2,Phagocytosis Macrophage,T
X131089728194917.T,1,Exhausted CD8+ T cells,T
X131089728231133.T,1,Exhausted CD8+ T cells,T
X131089728464756.N,2,Pro-angiogenesis Macrophage,N
X131089728694643.N,4,Macrophage,N
X131089728911605.N,8,Any Cell,N
X131089728980782.N,3,Pro-angiogenesis Macrophage,N
X131089740774619.N,7,Macrophage,N
X131089741233004.T,0,Effector/Memory CD4+ T cells,T
X131089741335974.N,2,Pro-angiogenesis Macrophage,N
X131089741559644.T,0,CD4+ T cell,T
X131089760406325.N,3,Pro-angiogenesis Macrophage,N
X131089760414053.T,6,Natural killer cell,T
X131089760470876.N,6,Natural killer cell,N
X131097900735324.N,2,Pro-angiogenesis Macrophage,N
X131097900738867.N,2,Pro-angiogenesis Macrophage,N
X131097900825501.N,2,Pro-angiogenesis Macrophage,N
X131097901022517.T,0,CD4+ T cell,T
X131097915681643.T,0,CD4 or CD8 T cell,T
X131097916029300.N,6,Natural killer cell,N
X131097916201251.N,6,Natural killer cell,N
X131097916201251.T,2,Phagocytosis Macrophage,T
X131097916262190.N,0,Effector/Memory CD4+ T cells,N
X131097928255333.T,0,CD4+ T cell,T
X131097928789299.N,0,Effector/Memory CD8+ T cells,N
X131097947486947.T,5,B Cell,T
X131097947723557.T,4,Macrophage,T
X131175210498270.N,2,Pro-angiogenesis Macrophage,N
X131175210674605.T,0,Blood Cell,T
X131175224855270.N,4,Phagocytosis Macrophage,N
X131175224860011.N,0,CD4 or CD8 T cell,N
X131175224919923.N,3,Pro-angiogenesis Macrophage,N
X131175225087782.N,7,Pro-angiogenesis Macrophage,N
X131175225092525.T,4,B Cell,T
X131175225380078.N,3,Pro-angiogenesis Macrophage,N
X131175225419500.T,0,CD4+ T cell,T
X131175237671646.T,10,CAFadi,T
X131175238228252.N,3,Pro-angiogenesis Macrophage,N
X131175256288494.N,3,Pro-angiogenesis Macrophage,N
X131175256344500.T,4,Macrophage or Dendritic Cell,T
X131175256542125.N,2,Pro-angiogenesis Macrophage,N
X131175256569718.N,2,Pro-angiogenesis Macrophage,N
X131175256832814.T,2,Macrophage,T
X131175256898918.T,0,Effector/Memory CD4+ T cells,T
X131175256905461.T,0,CD4+ T cell,T
X131175257102747.N,2,Pro-angiogenesis Macrophage,N
X131175257132388.T,3,Pro-angiogenesis Macrophage,T
X131217354602269.N,3,Pro-angiogenesis Macrophage,N
X131217354767667.T,5,B Cell,T
X131217354812710.N,2,Pro-angiogenesis Macrophage,N
X131217355304165.T,0,T regulatory cells,T
X131217369225966.N,7,Macrophage,N
X131217369450293.T,1,Exhausted CD8+ T cells,T
X131217381837534.N,0,Effector/Memory CD4+ T cells,N
X131217382324518.N,0,Effector/Memory CD4+ T cells,N
X131217382389662.N,6,Natural killer cell,N
X131217401263910.T,8,Non Blood Cell,T
X131217401462189.T,4,Blood Cell,T
X131234266266333.N,0,Effector/Memory CD4+ T cells,N
X131234280687973.T,5,B Cell,T
X131234280921908.T,5,B Cell,T
X131234280925020.N,3,Pro-angiogenesis Macrophage,N
X131234280925470.T,0,CD4 or CD8 T cell,T
X131234280954652.T,5,B Cell,T
X131234293233566.T,0,CD4+ T cell,T
X131234293467996.T,1,CD8+ T cell,T
X131234293734750.N,0,Effector/Memory CD8+ T cells,N
X131234294094134.N,0,Effector/Memory CD4+ T cells,N
X131234312145244.N,1,Effector/Memory CD4+ T cells,N
X131234312174963.N,1,Natural killer cell,N
X131234312178406.N,0,Effector/Memory CD4+ T cells,N
X131234312407397.N,4,Macrophage,N
X131242051198372.N,3,Pro-angiogenesis Macrophage,N
X131242051352862.N,3,Pro-angiogenesis Macrophage,N
X131242051419428.T,5,B Cell,T
X131242051427051.T,5,B Cell,T
X131242051452203.T,7,Pro-angiogenesis Macrophage,T
X131242065312179.N,2,Pro-angiogenesis Macrophage,N
X131242065358133.T,6,Exhausted CD8+ T cells,T
X131242065812827.T,5,B Cell,T
X131242065840557.N,2,Pro-angiogenesis Macrophage,N
X131242065872621.T,1,Tfh/Th1 helper CD4+ T cells,T
X131242066032885.N,0,Effector/Memory CD4+ T cells,N
X131242078129525.N,0,Effector/Memory CD4+ T cells,N
X131242078129525.T,5,B Cell,T
X131242078131958.N,7,Pro-inflammatory Macrophage,N
X131242078420395.N,6,Natural killer cell,N
X131242078627555.T,3,Pro-angiogenesis Macrophage,T
X131242096971123.T,5,B Cell,T
X131242097031516.N,3,Pro-angiogenesis Macrophage,N
X131242097044707.T,2,Phagocytosis Macrophage,T
X131242097228086.T,0,T regulatory cells,T
X131242097240476.N,6,Natural killer cell,N
X131242097273123.N,2,Pro-angiogenesis Macrophage,N
X131242097589612.N,1,T or NK Cell,N
X131242097596643.T,9,Exhausted CD8+ T cells,T
X131293455957406.N,1,CD4 or CD8 T cell,N
X131293456035228.T,1,Effector/Memory CD8+ T cells,T
X131293456264092.T,2,Macrophage,T
X131293456325340.T,0,Effector/Memory CD8+ T cells,T
X131293456557877.T,5,B Cell,T
X131293470640556.N,0,Effector/Memory CD8+ T cells,N
X131293470964524.T,0,T regulatory cells,T
X131293470977253.T,8,Pancreatic Cancer Cell,T
X131293471165683.N,0,Effector/Memory CD4+ T cells,N
X131293471169371.T,4,Phagocytosis Macrophage,T
X131293471428014.N,2,Pro-angiogenesis Macrophage,N
X131293471491868.T,4,Macrophage,T
X131293483285349.T,0,CD8+ T cell,T
X131293483322782.T,1,Exhausted CD8+ T cells,T
X131293484047587.T,0,Effector/Memory CD4+ T cells,T
X131293484104053.N,0,Effector/Memory CD4+ T cells,N
X131293502420773.N,4,Macrophage,N
X131293502687148.N,4,Blood Cell,N
X131293502953310.N,2,Pro-angiogenesis Macrophage,N
X131293502983078.T,5,B Cell,T
X131309562423013.N,4,Pro-angiogenesis Macrophage,N
X131309576804213.T,0,Effector/Memory CD8+ T cells,T
X131309577292724.T,2,Macrophage,T
X131309577386356.N,2,Phagocytosis Macrophage,N
X131309577553779.T,4,Macrophage,T
X131309577559396.T,2,Macrophage,T
X131309577562419.N,9,Pro-angiogenesis Macrophage,N
X131309577656235.T,4,Macrophage,T
X131309589419812.N,3,Pro-angiogenesis Macrophage,N
X131309590141740.N,2,Pro-angiogenesis Macrophage,N
X131309608258973.T,0,CD8+ T cell,T
X131309608295206.N,8,Non Blood Cell,N
X131309608790948.N,6,Natural killer cell,N
X131309608818461.N,6,Natural killer cell,N
X131309608855389.T,2,Phagocytosis Macrophage,T
X131309609007406.T,1,CD8+ T cell,T
X131309609011942.T,1,Exhausted CD8+ T cells,T
X131309609077108.N,3,Pro-angiogenesis Macrophage,N
X131310501870508.T,9,T regulatory cells,T
X131310502393773.N,6,Natural killer cell,N
X131310516332270.T,7,Pro-angiogenesis Macrophage,T
X131310516583147.T,9,Exhausted CD8+ T cells,T
X131310516845283.T,9,CD4 or CD8 T cell,T
X131310516849902.N,4,Macrophage,N
X131310516911324.N,5,Pro-angiogenesis Macrophage,N
X131310517180635.T,0,CD4+ T cell,T
X131310528940446.T,2,Phagocytosis Macrophage,T
X131310529133917.N,3,Pro-angiogenesis Macrophage,N
X131310529165684.N,8,Lung Cancer Cell,N
X131310529169245.T,4,Macrophage,T
X131310529211165.T,4,Phagocytosis Macrophage,T
X131310529211294.T,5,B Cell,T
X131310529669555.T,0,CD4+ T cell,T
X131310529695006.T,5,B Cell,T
X131310547843500.T,0,CD4+ T cell,T
X131310548085662.T,5,B Cell,T
X131310548368099.T,1,Exhausted CD8+ T cells,T
X131310548564715.N,9,Pro-angiogenesis Macrophage,N
X133829902842796.T,0,CD4+ T cell,T
X133829902875957.T,2,Macrophage,T
X133829902880037.N,2,Pro-angiogenesis Macrophage,N
X133829902939955.N,1,Effector/Memory CD4+ T cells,N
X133829903365940.N,9,Effector/Memory CD4+ T cells,N
X133829903403430.T,4,Phagocytosis Macrophage,T
X133829903407405.N,2,Pro-angiogenesis Macrophage,N
X133829917333283.N,3,Pro-angiogenesis Macrophage,N
X133829917587893.T,2,Phagocytosis Macrophage,T
X133829917591397.T,9,Exhausted CD8+ T cells,T
X133829917850870.T,1,Exhausted CD8+ T cells,T
X133829929945524.N,2,Pro-angiogenesis Macrophage,N
X133829930145628.T,0,CD4+ T cell,T
X133829930174181.T,5,B Cell,T
X133829948718387.T,1,CD4+ T cell,T
X133829949286702.N,0,Effector/Memory CD4+ T cells,N
X133829949602653.N,7,Pro-inflammatory Macrophage,N
X133829949606750.T,2,Phagocytosis Macrophage,T
X133854464458165.T,1,CD8+ T cell,T
X133854464695542.N,2,Pro-angiogenesis Macrophage,N
X133854464793963.T,4,Blood Cell,T
X133854479149996.T,1,CD8+ T cell,T
X133854479637723.N,2,Pro-angiogenesis Macrophage,N
X133854491757915.N,7,Pro-angiogenesis Macrophage,N
X133854491982196.N,3,Pro-angiogenesis Macrophage,N
X133854492215725.T,1,Exhausted CD8+ T cells,T
X133854492485340.N,0,Blood Cell,N
X133854511426859.N,2,Pro-angiogenesis Macrophage,N
X133895266678629.T,0,Effector/Memory CD8+ T cells,T
X133895266879405.N,2,Pro-angiogenesis Macrophage,N
X133895266884893.T,2,Phagocytosis Macrophage,T
X133895266912997.N,8,Normal Fibroblast,N
X133895266945309.T,1,Exhausted CD8+ T cells,T
X133895293922603.T,4,Macrophage,T
X133895294212446.T,0,CD4+ T cell,T
X133895294434029.T,7,Macrophage,T
X133895294708142.T,5,B Cell,T
X133895313021363.N,6,Natural killer cell,N
X133895313025380.N,3,Pro-angiogenesis Macrophage,N
X133895313046955.T,0,CD8+ T cell,T
X133895313091486.N,6,Natural killer cell,N
X133895313341283.T,4,Macrophage,T
X133974589298397.T,5,B Cell,T
X133974589357301.T,5,B Cell,T
X133974589359925.N,6,Natural killer cell,N
X133974589853036.N,3,Pro-angiogenesis Macrophage,N
X133974589885276.N,6,Natural killer cell,N
X133974590142884.N,2,Pro-angiogenesis Macrophage,N
X133974590155483.T,11,Macrophage,T
X133974604045021.N,1,Effector/Memory CD4+ T cells,N
X133974604077284.N,7,Pro-angiogenesis Macrophage,N
X133974604242278.N,2,Pro-angiogenesis Macrophage,N
X133974616557942.N,2,Pro-angiogenesis Macrophage,N
X133974616623838.N,0,CD8+ T cell,N
X133974616828340.T,5,B Cell,T
X133974617110822.N,3,Pro-angiogenesis Macrophage,N
X133974617344859.T,10,CAFmyo,T
X133974617348853.T,0,Effector/Memory CD4+ T cells,T
X133974617377182.N,0,Effector/Memory CD4+ T cells,N
X133974617413878.N,3,Pro-angiogenesis Macrophage,N
X133974617447660.T,0,Effector/Memory CD8+ T cells,T
X133974635493726.T,3,Phagocytosis Macrophage,T
X133974635764134.N,4,Macrophage,N
X133974636256043.N,0,Effector/Memory CD4+ T cells,N
X133982105593628.T,4,Macrophage,T
X133982105820453.T,5,B Cell,T
X133982105855715.N,2,Pro-angiogenesis Macrophage,N
X133982106041779.N,2,Phagocytosis Macrophage,N
X133982106335091.N,3,Pro-angiogenesis Macrophage,N
X133982120752883.T,0,Tfh/Th1 helper CD4+ T cells,T
X133982121060662.T,5,B Cell,T
X133982132783462.N,11,cDC2,N
X133982133049180.T,5,B Cell,T
X133982133082534.N,0,Effector/Memory CD4+ T cells,N
X133982133271404.T,1,Effector/Memory CD8+ T cells,T
X133982133283741.N,8,Non Stromal Cell,N
X133982151665563.T,6,Natural killer cell,T
X133982151722934.T,0,T regulatory cells,T
X133982151961971.T,0,T regulatory cells,T
X133982152153437.N,6,Natural killer cell,N
X134033645169965.N,6,Natural killer cell,N
X134033645680557.N,7,Macrophage,N
X134033645913963.T,0,T regulatory cells,T
X134033672395060.N,7,Macrophage,N
X134033672719269.T,0,Effector/Memory CD8+ T cells,T
X134033672981340.T,0,T regulatory cells,T
X134033691293996.N,0,Naive CD4+ T cells,N
X134033691589532.T,1,Exhausted CD8+ T cells,T
X134033691597037.N,0,Effector/Memory CD4+ T cells,N
X134033691851635.N,0,Effector/Memory CD8+ T cells,N
X134033692048107.N,6,Natural killer cell,N
X134041161382813.N,4,Macrophage,N
X134041161619236.N,3,Pro-angiogenesis Macrophage,N
X134041161811877.T,0,CD4+ T cell,T
X134041162111859.T,1,CD4 or CD8 T cell,T
X134041162115806.T,10,CAFinfla,T
X134041162135918.N,13,Lung Cancer Cell,N
X134041175996268.N,7,Pro-angiogenesis Macrophage,N
X134041176497371.N,7,Pro-inflammatory Macrophage,N
X134041176856795.N,7,Pro-angiogenesis Macrophage,N
X134041189403045.T,1,Exhausted CD8+ T cells,T
X134041207532851.T,14,Mast cell,T
X134041207692019.N,2,Pro-angiogenesis Macrophage,N
X134041207756531.N,6,Natural killer cell,N
X134041208048347.N,0,Effector/Memory CD4+ T cells,N
X134041208245045.T,1,Effector/Memory CD8+ T cells,T
X134041208318174.T,5,B Cell,T
X134376303020332.N,2,Pro-angiogenesis Macrophage,N
X134376303220587.N,3,Pro-angiogenesis Macrophage,N
X134376303483299.T,0,T regulatory cells,T
X134376303835419.T,4,B Cell,T
X134376318195438.T,1,Effector/Memory CD8+ T cells,T
X134376330218739.N,6,Natural killer cell,N
X134376330222877.N,2,Pro-angiogenesis Macrophage,N
X134376330315627.T,0,Tfh/Th1 helper CD4+ T cells,T
X134376330483997.T,1,Exhausted CD8+ T cells,T
X134376330578268.N,0,Effector/Memory CD4+ T cells,N
X134376330774772.N,6,Natural killer cell,N
X134376330848107.N,3,Pro-angiogenesis Macrophage,N
X134376331036470.T,0,Effector/Memory CD4+ T cells,T
X134376349153206.T,0,CD4+ T cell,T
X134376349187443.N,2,Pro-angiogenesis Macrophage,N
X134376349390709.T,14,Mast cell,T
X134376349616029.N,3,Pro-angiogenesis Macrophage,N
X134376349689700.T,0,CD4+ T cell,T
X134377511446387.N,0,Effector/Memory CD4+ T cells,N
X134377511470963.T,7,Pro-angiogenesis Macrophage,T
X134377525668637.N,2,Pro-angiogenesis Macrophage,N
X134377538280806.T,1,CD4+ T cell,T
X134377538963883.N,2,Pro-angiogenesis Macrophage,N
X134377539037411.N,7,Pro-angiogenesis Macrophage,N
X134377557120747.N,3,Pro-angiogenesis Macrophage,N
X134377557158763.T,0,CD4+ T cell,T
X134377557580125.T,0,CD4+ T cell,T
X134377557636852.T,6,Natural killer cell,T
X134377557904220.T,1,Effector/Memory CD8+ T cells,T
X134447975811315.N,3,Pro-angiogenesis Macrophage,N
X134447976070430.N,4,Pro-angiogenesis Macrophage,N
X134447989963181.T,5,B Cell,T
X134447990167909.N,3,Pro-angiogenesis Macrophage,N
X134447990430949.N,6,Natural killer cell,N
X134447990697381.T,5,B Cell,T
X134448002591149.T,10,CAFmyo,T
X134448002780005.T,2,Macrophage,T
X134448002841973.T,5,B Cell,T
X134448003042163.T,1,Exhausted CD8+ T cells,T
X134448003275509.T,1,Exhausted CD8+ T cells,T
X134448003300277.T,2,Phagocytosis Macrophage,T
X134448003303838.T,8,Pancreatic Cancer Cell,T
X134448021358494.T,5,B Cell,T
X134448021683486.T,1,Effector/Memory CD8+ T cells,T
X134448021686629.T,0,CD4+ T cell,T
X134448022174443.N,2,Macrophage,N
X134448022174939.N,6,Natural killer cell,N
X134472805566764.N,12,Endothelial Cells,N
X134472805607789.T,5,B Cell,T
X134472805771126.N,1,Effector/Memory CD4+ T cells,N
X134472805857054.T,0,Effector/Memory CD8+ T cells,T
X134472806063540.N,3,Pro-angiogenesis Macrophage,N
X134472806288166.T,1,Exhausted CD8+ T cells,T
X134472820185443.T,2,Macrophage,T
X134472820211044.T,5,B Cell,T
X134472820710708.N,4,Pro-angiogenesis Macrophage,N
X134472820977061.T,5,B Cell,T
X134472820999965.N,1,Effector/Memory CD8+ T cells,N
X134472832765171.N,3,Pro-angiogenesis Macrophage,N
X134472833064245.N,7,Pro-angiogenesis Macrophage,N
X134472833321843.T,0,CD4+ T cell,T
X134472833579957.T,4,Macrophage,T
X134472833583518.T,0,Blood Cell,T
X134472851638709.T,4,Macrophage,T
X134472851671403.N,3,Pro-angiogenesis Macrophage,N
X134472851973979.N,0,Effector/Memory CD4+ T cells,N
X134472852171109.N,2,Pro-angiogenesis Macrophage,N
X134522331843510.T,0,CD4+ T cell,T
X134522332662502.N,2,Pro-angiogenesis Macrophage,N
X134522346555318.N,0,Effector/Memory CD4+ T cells,N
X134522346563820.T,2,Phagocytosis Macrophage,T
X134522346583908.T,1,Effector/Memory CD8+ T cells,T
X134522346618270.N,2,Pro-angiogenesis Macrophage,N
X134522346847469.N,0,Blood Cell,N
X134522347120542.T,2,Phagocytosis Macrophage,T
X134522347154211.N,1,Effector/Memory CD8+ T cells,N
X134522347338612.N,2,Pro-angiogenesis Macrophage,N
X134522359147365.T,0,CD4+ T cell,T
X134522359167398.N,3,Pro-angiogenesis Macrophage,N
X134522359429468.T,4,Macrophage,T
X134522359471342.N,1,Effector/Memory CD8+ T cells,N
X134522359634204.T,15,pDC,T
X134522359994718.N,0,Effector/Memory CD4+ T cells,N
X134522377977139.N,0,Effector/Memory CD4+ T cells,N
X134522377984742.T,0,CD4+ T cell,T
X134522378053918.N,3,Pro-angiogenesis Macrophage,N
X134522378534123.T,15,pDC,T
X134522378603227.N,2,Pro-angiogenesis Macrophage,N
X134522378771877.N,15,pDC,N
X134522378835676.N,2,Pro-angiogenesis Macrophage,N
X134522378860790.N,0,Effector/Memory CD4+ T cells,N
X134530787634588.T,0,CD4+ T cell,T
X134530787851507.T,10,CAFadi,T
X134530787883939.T,1,Exhausted CD8+ T cells,T
X134530787924700.T,5,B Cell,T
X134530787927979.T,0,CD8+ T cell,T
X134530788079478.T,0,T regulatory cells,T
X134530788092333.N,4,Macrophage,N
X134530788149491.T,4,Macrophage,T
X134530788183283.N,2,Pro-angiogenesis Macrophage,N
X134530788416820.T,1,Exhausted CD8+ T cells,T
X134530802302371.T,5,B Cell,T
X134530802314523.T,4,Macrophage,T
X134530802564333.T,11,cDC2,T
X134530802767588.N,1,Effector/Memory CD8+ T cells,N
X134530802861931.N,9,Pro-angiogenesis Macrophage,N
X134530803100893.T,5,B Cell,T
X134530814860125.T,0,CD4+ T cell,T
X134530815617332.N,2,Pro-angiogenesis Macrophage,N
X134530833758054.T,1,Effector/Memory CD8+ T cells,T
X134530833771748.N,6,Natural killer cell,N
X134530833799389.T,8,Normal Tissue Cell,T
X134530833995684.N,6,Natural killer cell,N
X134530834021606.T,7,Macrophage,T
X134531727088933.T,2,Phagocytosis Macrophage,T
X134531727349686.N,5,Blood Cell,N
X134531727419294.T,1,Exhausted CD8+ T cells,T
X134531727441309.N,3,Pro-angiogenesis Macrophage,N
X134531727669030.T,0,CD4+ T cell,T
X134531727869787.N,3,Pro-angiogenesis Macrophage,N
X134531727904164.T,1,CD4 or CD8 T cell,T
X134531741773108.T,9,Exhausted CD8+ T cells,T
X134531741824868.N,3,Pro-angiogenesis Macrophage,N
X134531741833643.N,2,Pro-angiogenesis Macrophage,N
X134531741833949.T,0,CD4+ T cell,T
X134531742029678.T,1,Effector/Memory CD8+ T cells,T
X134531742055670.N,2,Pro-angiogenesis Macrophage,N
X134531742059894.N,2,Pro-angiogenesis Macrophage,N
X134531742087022.N,15,pDC,N
X134531742353261.N,3,Pro-angiogenesis Macrophage,N
X134531742391539.T,9,Effector/Memory CD8+ T cells,T
X134531742612707.T,4,Macrophage,T
X134531742653852.N,3,Pro-angiogenesis Macrophage,N
X134531754608492.T,0,Effector/Memory CD8+ T cells,T
X134531773315500.N,0,Effector/Memory CD4+ T cells,N
X134531773491622.N,0,Effector/Memory CD4+ T cells,N
X134531773492518.T,5,B Cell,T
X134531774007646.T,8,Pancreatic Cancer Cell,T
X134539645994739.N,0,Endothelial Cells,N
X134539646262628.N,2,Pro-angiogenesis Macrophage,N
X134539646290347.T,1,Effector/Memory CD8+ T cells,T
X134539646449453.T,9,Macrophage,T
X134539646458724.T,1,Effector/Memory CD8+ T cells,T
X134539646551907.T,1,CD8+ T cell,T
X134539646553331.N,1,Effector/Memory CD4+ T cells,N
X134539660971236.N,2,Pro-angiogenesis Macrophage,N
X134539660975398.N,2,Pro-angiogenesis Macrophage,N
X134539673299364.N,2,Pro-angiogenesis Macrophage,N
X134539673458973.T,4,Blood Cell,T
X134539674007790.T,1,Effector/Memory CD8+ T cells,T
X134539692173100.N,3,Pro-angiogenesis Macrophage,N
X134539692403499.T,1,CD8+ T cell,T
X134539692662044.N,6,Natural killer cell,N
X134540451506398.T,4,Macrophage,T
X134540451571947.T,9,CD8+ T cell,T
X134540451794284.N,2,Pro-angiogenesis Macrophage,N
X134540451866996.T,1,Exhausted CD8+ T cells,T
X134540452022621.N,1,Effector/Memory CD8+ T cells,N
X134540452051755.T,5,B Cell,T
X134540452088165.N,0,Effector/Memory CD4+ T cells,N
X134540452096228.T,5,B Cell,T
X134540465986334.T,5,B Cell,T
