cell,integration_cluster,cell_type,sample_type
X121202342218165.N,1,Effector/Memory CD4+ T cells,N
X121202342259059.T,5,B Cell,T
X121202342320045.N,0,Effector/Memory CD4+ T cells,N
X121202342324532.T,1,CD8+ T cell,T
X121202343042484.N,0,Effector/Memory CD4+ T cells,N
X121202343102387.T,10,CAFinfla,T
X121276786982315.T,5,B Cell,T
X121276787485998.T,0,Tfh/Th1 helper CD4+ T cells,T
X121276787747565.T,5,B Cell,T
X121276801693556.T,1,CD8+ T cell,T
X121276802226595.N,3,Pro-angiogenesis Macrophage,N
X121276802386804.T,0,T regulatory cells,T
X121276802452260.N,8,Normal Fibroblast,N
X121276814215965.T,0,Effector/Memory CD4+ T cells,T
X121276814252395.T,1,Effector/Memory CD8+ T cells,T
X121276814473588.N,0,Effector/Memory CD8+ T cells,N
X121276814517995.T,5,B Cell,T
X121276814739700.N,7,Pro-angiogenesis Macrophage,N
X121276815001398.T,0,T regulatory cells,T
X121276833089899.N,4,Macrophage,N
X121276833360180.T,10,CAFadi,T
X121276833385781.N,2,Pro-angiogenesis Macrophage,N
X121276833642228.N,0,Effector/Memory CD4+ T cells,N
X121276833676014.T,4,Blood Cell,T
X121319736891638.T,0,CD4+ T cell,T
X121319737416563.N,2,Pro-angiogenesis Macrophage,N
X121319751281582.T,0,CD4+ T cell,T
X121319751370981.T,0,CD4+ T cell,T
X121319751629166.N,7,Macrophage,N
X121319751629166.T,1,Exhausted CD8+ T cells,T
X121319751802164.N,2,Pro-angiogenesis Macrophage,N
X121319751837916.T,12,Endothelial Cells,T
X121319752124781.T,8,Normal Fibroblast,T
X121319752165155.N,6,Natural killer cell,N
X121319763860765.T,1,Exhausted CD8+ T cells,T
X121319763962164.T,2,Phagocytosis Macrophage,T
X121319764117356.N,2,Phagocytosis Macrophage,N
X121319764121894.N,8,Lung Cancer Cell,N
X121319764384028.T,1,Exhausted CD8+ T cells,T
X121319764409075.T,8,Normal Fibroblast,T
X121319764442357.N,0,Blood Cell,N
X121319783058781.T,2,Phagocytosis Macrophage,T
X121319783261942.N,2,Pro-angiogenesis Macrophage,N
X121319783544622.T,4,Macrophage,T
X121319783557477.N,3,Pro-angiogenesis Macrophage,N
X121319783558502.T,4,Phagocytosis Macrophage,T
X121337990208805.T,5,B Cell,T
X121337990499124.N,6,Natural killer cell,N
X121337990564150.T,0,CD4+ T cell,T
X121337990728478.T,0,T regulatory cells,T
X121337990760301.T,0,CD4+ T cell,T
X121337991052574.T,0,Effector/Memory CD4+ T cells,T
X121338004921707.T,0,CD4+ T cell,T
X121338004953014.N,7,Macrophage,N
X121338005175019.N,7,Pro-angiogenesis Macrophage,N
X121338005251805.N,7,Macrophage,N
X121338005408692.T,6,Natural killer cell,T
X121338005449075.T,0,CD4+ T cell,T
X121338017570150.N,1,Effector/Memory CD8+ T cells,N
X121338017835252.T,2,Phagocytosis Macrophage,T
X121338018294061.T,5,B Cell,T
X121338036895084.N,2,Pro-angiogenesis Macrophage,N
X121338036959971.N,7,Macrophage,N
X121339869617436.N,6,Natural killer cell,N
X121339869808493.N,0,Blood Cell,N
X121339870038894.T,0,CD8+ T cell,T
X121339870112046.N,0,Blood Cell,N
X121339884005678.N,6,Natural killer cell,N
X121339884260579.N,3,Pro-angiogenesis Macrophage,N
X121339884555099.T,1,Exhausted CD8+ T cells,T
X121339884718388.T,7,Macrophage,T
X121339884727518.N,7,Pro-inflammatory Macrophage,N
X121339896621292.N,7,Pro-angiogenesis Macrophage,N
X121339897048307.T,2,Macrophage,T
X121339897298213.N,2,Pro-angiogenesis Macrophage,N
X121339897301934.T,4,Macrophage,T
X121339897399139.N,1,Effector/Memory CD4+ T cells,N
X121339915430837.T,0,Effector/Memory CD8+ T cells,T
X121339915488691.T,1,Exhausted CD8+ T cells,T
X121339915652013.T,6,Natural killer cell,T
X121339915679606.T,8,Any Cell,T
X121339915910579.N,0,Blood Cell,N
X121339916008876.T,5,B Cell,T
X121339916277485.N,0,Effector/Memory CD4+ T cells,N
X121742656976621.T,1,CD8+ T cell,T
X121742656976742.N,3,Pro-angiogenesis Macrophage,N
X121742657182115.T,2,Phagocytosis Macrophage,T
X121742657247580.T,3,Phagocytosis Macrophage,T
X121742657476395.N,3,Pro-angiogenesis Macrophage,N
X121742671366070.T,5,B Cell,T
X121742671375276.T,11,cDC2,T
X121742671402934.N,0,Effector/Memory CD4+ T cells,N
X121742671404340.N,3,Pro-angiogenesis Macrophage,N
X121742671595380.N,1,Effector/Memory CD4+ T cells,N
X121742671895899.T,1,CD8+ T cell,T
X121742672161131.N,4,Macrophage,N
X121742684539740.T,1,CD8+ T cell,T
X121742702794612.T,1,CD8+ T cell,T
X121742702799668.N,3,Pro-angiogenesis Macrophage,N
X121742702893878.T,7,Macrophage,T
X121742703316275.N,7,Macrophage,N
X121742703353252.T,1,Effector/Memory CD8+ T cells,T
X121742703585118.N,5,Pro-angiogenesis Macrophage,N
X121742703614363.N,3,Pro-angiogenesis Macrophage,N
X121742703650526.T,1,Exhausted CD8+ T cells,T
X121812450129773.T,0,CD4 or CD8 T cell,T
X121812450761501.T,0,CD4 or CD8 T cell,T
X121812464561059.T,1,Effector/Memory CD8+ T cells,T
X121812464818533.T,0,CD4+ T cell,T
X121812464876332.T,1,Effector/Memory CD8+ T cells,T
X121812465141661.T,5,B Cell,T
X121812465183523.T,5,B Cell,T
X121812477135222.T,0,CD4+ T cell,T
X121812477242099.T,9,CD4 or CD8 T cell,T
X121812477405044.N,3,Pro-angiogenesis Macrophage,N
X121812477431198.N,0,Effector/Memory CD4+ T cells,N
X121812477926188.T,0,CD4 or CD8 T cell,T
X121812478019996.T,1,Exhausted CD8+ T cells,T
X121812496345899.T,4,Blood Cell,T
X121812496629164.N,6,Natural killer cell,N
X121812496832734.N,4,Phagocytosis Macrophage,N
X121826140342709.N,2,Pro-angiogenesis Macrophage,N
X121826140904307.T,1,Exhausted CD8+ T cells,T
X121826140940590.N,0,Effector/Memory CD4+ T cells,N
X121826154798443.T,5,B Cell,T
X121826154858862.T,6,Natural killer cell,T
